
Interface              IP-Address      OK? Method Status                Protocol
FastEthernet1          unassigned      YES unset  down                  down    
GigabitEthernet1/1     unassigned      YES unset  up                    up      
GigabitEthernet1/2     unassigned      YES unset  up                    up      
GigabitEthernet1/3     unassigned      YES unset  up                    up      
GigabitEthernet1/4     unassigned      YES unset  up                    up      
GigabitEthernet1/5     unassigned      YES unset  up                    up      
GigabitEthernet1/6     unassigned      YES unset  down                  down    
GigabitEthernet1/7     unassigned      YES unset  up                    up      
GigabitEthernet1/8     unassigned      YES unset  up                    up      
GigabitEthernet1/9     unassigned      YES unset  up                    up      
GigabitEthernet1/10    unassigned      YES unset  up                    up      
GigabitEthernet1/11    unassigned      YES unset  up                    up      
GigabitEthernet1/12    unassigned      YES unset  down                  down    
GigabitEthernet1/13    unassigned      YES unset  down                  down    
GigabitEthernet1/14    unassigned      YES unset  down                  down    
GigabitEthernet1/15    unassigned      YES unset  down                  down    
GigabitEthernet1/16    unassigned      YES unset  down                  down    
GigabitEthernet1/17    unassigned      YES unset  down                  down    
GigabitEthernet1/18    unassigned      YES unset  down                  down    
GigabitEthernet1/19    unassigned      YES unset  down                  down    
GigabitEthernet1/20    unassigned      YES unset  down                  down    
GigabitEthernet1/21    unassigned      YES unset  down                  down    
GigabitEthernet1/22    unassigned      YES unset  down                  down    
GigabitEthernet1/23    unassigned      YES unset  down                  down    
GigabitEthernet1/24    unassigned      YES unset  down                  down    
GigabitEthernet1/25    unassigned      YES unset  down                  down    
GigabitEthernet1/26    unassigned      YES unset  down                  down    
GigabitEthernet1/27    unassigned      YES unset  down                  down    
GigabitEthernet1/28    unassigned      YES unset  down                  down    
GigabitEthernet1/29    unassigned      YES unset  down                  down    
GigabitEthernet1/30    unassigned      YES unset  down                  down    
GigabitEthernet1/31    unassigned      YES unset  down                  down    
GigabitEthernet1/32    unassigned      YES unset  down                  down    
GigabitEthernet1/33    unassigned      YES unset  down                  down    
GigabitEthernet1/34    unassigned      YES unset  down                  down    
GigabitEthernet1/35    unassigned      YES unset  down                  down    
GigabitEthernet1/36    unassigned      YES unset  up                    up      
GigabitEthernet1/37    unassigned      YES unset  down                  down    
GigabitEthernet1/38    unassigned      YES unset  down                  down    
GigabitEthernet1/39    unassigned      YES unset  down                  down    
GigabitEthernet1/40    unassigned      YES unset  down                  down    
GigabitEthernet1/41    unassigned      YES unset  down                  down    
GigabitEthernet1/42    unassigned      YES unset  down                  down    
GigabitEthernet1/43    unassigned      YES unset  down                  down    
GigabitEthernet1/44    unassigned      YES unset  down                  down    
GigabitEthernet1/45    unassigned      YES unset  down                  down    
GigabitEthernet1/46    unassigned      YES unset  down                  down    
GigabitEthernet1/47    unassigned      YES unset  up                    up      
GigabitEthernet1/48    unassigned      YES unset  up                    up      
TenGigabitEthernet1/49 unassigned      YES unset  down                  down    
TenGigabitEthernet1/50 unassigned      YES unset  down                  down    
TenGigabitEthernet1/51 unassigned      YES unset  down                  down    
TenGigabitEthernet1/52 unassigned      YES unset  down                  down    
Port-channel1          unassigned      YES unset  up                    up      
Port-channel2          unassigned      YES unset  up                    up      
Vlan1                  10.25.0.5       YES manual up                    up      
Vlan5                  10.25.5.5       YES manual up                    up      
Vlan10                 10.25.10.5      YES manual up                    up      
Vlan25                 10.25.25.5      YES manual up                    up      
Vlan2550               10.25.255.5     YES manual up                    up      Connection to 10.25.255.5 closed by remote host.
